90-Day Content Calendar - Dr. Atul Madaan,,,,,,,,,,,,,,
Week,Theme,Date,Day,Channel,Format,Pillar,Topic,Hook (first line),Hashtags,CTA,Length,Post Window,Status,Notes
1,Foundation: Early Signs,,Mon,Instagram,Reel,P1,3 signs aap miss kar dete hain age 1 par,10 me se 9 parents ye 3 sign miss kar dete hain. Bachata wahi jo time pe pakad le.,#autism #autismindia #autismparents #earlysigns #ludhiana,Save this. Send to a parent of a 1-year-old.,15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
1,Foundation: Early Signs,,Tue,Instagram,Carousel,P2,ABA vs Speech vs OT - kab kya?,"ABA, Speech, OT - kaunsa pehle? Yahan ek decision tree hai jo har parent ko chahiye.",#autism #autismindia #abatherapy #speechtherapy #ludhiana,"Save. DM ""pathway"" for the printable.",8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
1,Foundation: Early Signs,,Wed,Instagram,Reel,P3,Stimming galat nahi hai,Stimming ko rokna mat. Yahan kyun.,#autism #autismindia #stimming #sensoryneeds #ludhiana,Save. Send to a parent who tries to stop stimming.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
1,Foundation: Early Signs,,Thu,Instagram,Reel,P5,RCI certificate kaise milta hai,RCI disability certificate - pura process step by step.,#autism #autismindia #disabilitycertificate #rci #ludhiana,"Save. DM ""RCI"" for the document checklist.",15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
1,Foundation: Early Signs,,Fri,Instagram,Carousel,P4,7 signs adults miss in themselves,"""Kya mujhe bhi autism ho sakta hai?"" - 7 sign jo adults realise karte hain.",#autism #autismadults #latediagnosis #audhd #adultautism,Save. Share.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
1,Foundation: Early Signs,,Sat,Instagram,Reel,P3,Stimming galat nahi hai,Stimming ko rokna mat. Yahan kyun.,#autism #autismindia #stimming #sensoryneeds #ludhiana,Save. Send to a parent who tries to stop stimming.,15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
1,Foundation: Early Signs,,Sat,YouTube,Long-form,P1,Speech Delay vs Autism - Full Clinical Walkthrough,"""Speech delay"" aur autism me kya farak? 8 minute me sab.",-,Subscribe + save the playlist,6–12 min,Anytime,Planned,"Long-form anchor for Week 1 hooks. Chapters: 0:00 intro hook, 0:30 speech-delay definition, 2:00 autism definition, 3:30 overlap, 5:00 the 4 questions to ask, 7:00 when to seek help, 7:45 CTA."
1,Foundation: Early Signs,,Sun,Instagram,Reel,-,Week 1 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
1,Foundation: Early Signs,,Mon+1,YouTube,Short,P1,(Repurpose) 3 signs aap miss kar dete hain age 1 par,10 me se 9 parents ye 3 sign miss kar dete hain. Bachata wahi jo time pe pakad le.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
1,Foundation: Early Signs,,Wed+1,YouTube,Short,P3,(Repurpose) Stimming galat nahi hai,Stimming ko rokna mat. Yahan kyun.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
1,Foundation: Early Signs,,Sat+1,YouTube,Short,P3,(Repurpose) Stimming galat nahi hai,Stimming ko rokna mat. Yahan kyun.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
2,Speech & Communication,,Mon,Instagram,Reel,P1,Eye contact red flags at 6–12 months,Eye contact pe 6 mahine se najar rakhein - yahan kya dekhna hai.,#autism #autismawareness #autismparents #earlydiagnosis #ludhiana,"Save. DM ""checklist"" for the full version.",15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
2,Speech & Communication,,Tue,Instagram,Carousel,P2,How many hours of therapy is enough?,"""Kitne ghante therapy chahiye?"" - research kya kehti hai.",#autism #autismindia #abatherapy #autismtherapy #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
2,Speech & Communication,,Wed,Instagram,Reel,P3,Meltdown vs tantrum - farak,Meltdown aur tantrum me ek bada farak hai. Parents miss kar dete hain.,#autism #autismindia #meltdown #autismparents #ludhiana,Save.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
2,Speech & Communication,,Thu,Instagram,Reel,P5,UDID vs disability certificate,UDID aur disability certificate - alag hain. Yahan farak.,#autism #autismindia #udid #disabilitycertificate #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
2,Speech & Communication,,Fri,Instagram,Carousel,P4,Why women are diagnosed later,Ladkiyon me autism late diagnose kyu hota hai? Yahan asli reason hai.,#autism #autismwomen #latediagnosis #audhd #adultautism,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
2,Speech & Communication,,Sat,Instagram,Reel,P1,Eye contact red flags at 6–12 months,Eye contact pe 6 mahine se najar rakhein - yahan kya dekhna hai.,#autism #autismawareness #autismparents #earlydiagnosis #ludhiana,"Save. DM ""checklist"" for the full version.",15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
2,Speech & Communication,,Sat,YouTube,Long-form,P1,When Should a Child Start Talking? - Milestones Decoded,First word kab? Phrase kab? Sentences kab? Honest milestones.,-,Subscribe + save the playlist,6–12 min,Anytime,Planned,"Chapters: intro, 12mo, 18mo, 24mo, 36mo, when to worry, what to do."
2,Speech & Communication,,Sun,Instagram,Reel,-,Week 2 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
2,Speech & Communication,,Mon+1,YouTube,Short,P1,(Repurpose) Eye contact red flags at 6–12 months,Eye contact pe 6 mahine se najar rakhein - yahan kya dekhna hai.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
2,Speech & Communication,,Wed+1,YouTube,Short,P3,(Repurpose) Meltdown vs tantrum - farak,Meltdown aur tantrum me ek bada farak hai. Parents miss kar dete hain.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
2,Speech & Communication,,Sat+1,YouTube,Short,P1,(Repurpose) Eye contact red flags at 6–12 months,Eye contact pe 6 mahine se najar rakhein - yahan kya dekhna hai.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
3,Sensory & Stimming Decoded,,Mon,Instagram,Reel,P1,Name response by 9–12 months,"""Aapka bachha apna naam sun ke palatta hai?"" 9 mahine se hi check karein.",#autism #autismindia #earlysigns #babymilestones #ludhiana,Save. Share with a new parent.,15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
3,Sensory & Stimming Decoded,,Tue,Instagram,Carousel,P2,Inside a speech therapy session,Speech therapy me actually hota kya hai? Yahan 8 slides me.,#autism #autismindia #speechtherapy #autismparents #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
3,Sensory & Stimming Decoded,,Wed,Instagram,Reel,P3,Meltdown vs shutdown,Meltdown bahar dikhta hai. Shutdown chhupa rehta hai. Dono kya hain.,#autism #autismindia #meltdown #autismparents #ludhiana,Save.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
3,Sensory & Stimming Decoded,,Thu,Instagram,Reel,P5,RTE school accommodations,RTE ke under autistic bachhe ke kya rights hain school me?,#autism #autismindia #school #rte #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
3,Sensory & Stimming Decoded,,Fri,Instagram,Carousel,P4,Masking - what it costs,"Masking - autistic log roz karte hain, aur ye thakaata hai. Kya hai masking.",#autism #autismadults #masking #burnout #adultautism,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
3,Sensory & Stimming Decoded,,Sat,Instagram,Reel,P3,Meltdown vs shutdown,Meltdown bahar dikhta hai. Shutdown chhupa rehta hai. Dono kya hain.,#autism #autismindia #meltdown #autismparents #ludhiana,Save.,15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
3,Sensory & Stimming Decoded,,Sat,YouTube,Long-form,P2,ABA vs Speech vs OT - The Parent Decision Guide,"3 therapies, 1 decision. Kaunsa pehle, kab combine, kab step down.",-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Anchor video. Embed decision tree on screen at minute 3.
3,Sensory & Stimming Decoded,,Sun,Instagram,Reel,-,Week 3 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
3,Sensory & Stimming Decoded,,Mon+1,YouTube,Short,P1,(Repurpose) Name response by 9–12 months,"""Aapka bachha apna naam sun ke palatta hai?"" 9 mahine se hi check karein.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
3,Sensory & Stimming Decoded,,Wed+1,YouTube,Short,P3,(Repurpose) Meltdown vs shutdown,Meltdown bahar dikhta hai. Shutdown chhupa rehta hai. Dono kya hain.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
3,Sensory & Stimming Decoded,,Sat+1,YouTube,Short,P3,(Repurpose) Meltdown vs shutdown,Meltdown bahar dikhta hai. Shutdown chhupa rehta hai. Dono kya hain.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
4,Therapy Decision Tree,,Mon,Instagram,Reel,P1,"Joint attention - what it is, why it matters",Joint attention - ye ek shabd autism diagnosis me sabse important hai.,#autism #autismindia #earlysigns #pediatrics #ludhiana,Save. Comment 🌱 to get the joint-attention checklist.,15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
