Date,Format,Topic,Exact_Title,Hook,Presenter,Duration,Search_Intent,Primary_Keyword,Thumbnail_Text,CTA,Shorts_Extracted,Related_Long_Video,Clinical_Review,Status
2026-09-07,YouTube Short (Gappu & Dolly Animated),Animated Empathy: Speech Delay vs Autism,Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #speechdelayvsautisminhindi,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),speech delay vs autism in hindi,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide,Approved,Scheduled
2026-09-08,YouTube Short (Tactical Doctor/Therapist),Quick Insight: Speech Delay vs Autism,Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),speech delay vs autism in hindi,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide,Approved,Scheduled
2026-09-09,Long-Form Video (Masterclass),Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide,Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide | Complete Guide by Dr. Atul Madaan,"Agar aapka 2-3 saal ka bachha bol nahi raha, toh kya ye autism hai ya isolated speech delay?",Dr. Atul Madaan,14:20,High (Search),speech delay vs autism in hindi,Speech Delay Ya Autism?,Download free 12-36M Parent Rubric,"Short-01, Short-02, Short-03",Self (Anchor),Approved,Scheduled
2026-09-10,YouTube Short (Parent Q&A),Parent FAQ: ABA vs OT vs Speech Therapy,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,ABA vs OT vs Speech Therapy: Kaunsi Therapy Kab Shuru Karein?,Approved,Scheduled
2026-09-11,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,ABA vs OT vs Speech Therapy: Kaunsi Therapy Kab Shuru Karein?,Approved,Scheduled
2026-09-12,Long-Form Video (Clinical Deep Dive),ABA vs OT vs Speech Therapy: Kaunsi Therapy Kab Shuru Karein?,ABA vs OT vs Speech Therapy: Kaunsi Therapy Kab Shuru Karein? | Autism Alliance India,Diagnosis ke baad 3 alag therapies sunne ko milti hain: Kaunsi pehle start karein?,Dr. Atul Madaan & Senior OT,16:45,High (Search),autism therapy types india,Which Therapy First?,Book integrated consultation at Autism Alliance,"Short-04, Short-05, Short-06",Self (Anchor),Approved,Scheduled
2026-09-13,YouTube Short (Sunday Parent Empathy),Parent Motivation & Emotional Reassurance,To The Mother Comparing Growth Charts at the Park... Listen To This #Shorts #AutismParenting,Park me dusre bachhon ko dekh kar agar aapka dil baith jaata hai... toh ek gehri saans lijiye.,Dr. Atul Madaan,0:40,High (Emotional Browse),autism parent emotional support,Take a Deep Breath,Share this with an exhausted mother,Native Studio Shoot,"Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Approved,Scheduled
2026-09-14,YouTube Short (Gappu & Dolly Animated),"Animated Empathy: Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #sensoryprocessingdisorderhindi,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),sensory processing disorder hindi,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),"Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Approved,Scheduled
2026-09-15,YouTube Short (Tactical Doctor/Therapist),"Quick Insight: Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),sensory processing disorder hindi,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,"Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Approved,Scheduled
2026-09-16,Long-Form Video (Masterclass),"Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems","Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems | Complete Guide by Dr. Atul Madaan","Kyu autistic bachhe shor, light aur kapdon ke tags se itna overwhelm hote hain?",Dr. Atul Madaan & Lead OT,15:10,High (Search),sensory processing disorder hindi,Sensory Overload Decoded,"Visit our Sensory Gyms in Delhi, Faridabad, Ludhiana","Short-07, Short-08, Short-09",Self (Anchor),Approved,Scheduled
2026-09-17,YouTube Short (Parent Q&A),Parent FAQ: Stimming in Autism,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?",Approved,Scheduled
2026-09-18,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?",Approved,Scheduled
2026-09-19,Podcast / In-Depth Conversation,Autism Alliance Podcast Series,"Living with Autism in India: School Admissions, Therapy Costs & Grandparents | Dr. Atul Madaan Ep 1",Ek aam Indian family autism diagnosis ke baad pehle 6 mahine me kin mushkilon se guzarti hai?,Dr. Atul Madaan with Guest Senior Paediatrician,32:15,High (Browse / Authority),autism podcast india,The Real Struggle,Comment your biggest challenge below,"Podcast Short 1, 2, 3",Self (Anchor),Approved,Scheduled
