Date,Week,Day,Platform,Format,Content ID,Pillar,Series,Topic,Exact Hook,Speaker,Centre,City,Language,Goal,Funnel Stage,Duration,Primary CTA,Secondary CTA,Required Shots,B-Roll,Collaboration,Organic Test,Paid Eligible,Repurpose Source,Status,Notes
Day 1 (Mon),Week 1,Monday,"Instagram, YouTube, Facebook",Reel / Short,AA-SH-001,P1: Dr. Atul Explains,AA | Dr. Atul Explains,Speech Delay vs Autism: 3 Critical Observations,"Agar aapka 2 saal ka bachha bol nahi raha, toh ye 3 baatein check karein.",Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,High non-follower discovery & early-stage parent reassurance,Top of Funnel (Discovery),32 sec,Save this guide and DM 'OBSERVE' for our toddler milestone checklist.,Share with a parent who needs calm clarity.,Close-up eye contact talking head + 3-second pattern interrupt graphic.,Therapist pointing to flashcards + toddler smiling at bubbles (no child face).,None (Solo anchor),Yes (0-24h share tracking),Yes (Eligible if shares/reach > 3.5%),Original Batch Filming (Dr. Atul Batch 1),Ready to Script,Anchor Reel for Week 1. High share potential to family WhatsApp groups.
Day 2 (Tue),Week 1,Tuesday,"Instagram, Facebook",Carousel,AA-CAR-001,P8: Parent Training Program,AA | Pathway Guide,The First 30 Days After an Autism Diagnosis: A Step-by-Step Roadmap,Diagnosis mil gaya. Ab agle 30 din me sabse pehle kya karna hai?,Clinical Team,Delhi EOK,Delhi,English / Hinglish,Save rate maximization & reducing post-diagnosis panic,Mid Funnel (Trust & Pathway),8 Slides,Save this post for reference when speaking with doctors.,DM 'ROADMAP' for the printable PDF.,Slide 1 high-contrast typography hook + step-by-step decision tree slides.,Slide graphics showing multidisciplinary therapy alignment.,Tagging local parent support groups,Yes (Save tracking),Yes (Carousel engagement ad),New graphic asset,Ready to Design,Targeting 8%+ save-to-reach ratio.
Day 3 (Wed),Week 1,Wednesday,"Instagram, YouTube, Facebook",Reel / Short,AA-SH-002,P2: Parent Asked. Therapist Shows.,AA | Therapist Shows,Eye Contact Through Bubbles: The Joint Attention Hack,Bachha eye contact force karne se nahi seekhta. Soap bubbles se aise sikhayein.,Senior Speech Therapist,Faridabad,Faridabad,Hinglish,Demonstration of practical therapy technique in home context,Top to Mid Funnel,28 sec,Try this tonight and comment below how your child responded!,Share with a parent of an 18-month-old.,Therapist holding bubble wand near eye level + close-up of therapist expressions.,Hands blowing bubbles in slow motion + pointing gesture.,None,Yes,Yes (High organic viral candidate),Faridabad Centre Batch 1,Ready to Script,Demonstrates why 'Parents are the real therapists'.
Day 4 (Thu),Week 1,Thursday,"Instagram, YouTube, Facebook",Reel / Short,AA-SH-003,P7: Myth vs Reality,AA | Myth vs Reality,"Myth: 'Boys Speak Late, Don't Worry'",'Ladke toh der se hi bolte hain' — ye ek advice hazaron bachhon ka golden time waste karti hai.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi,Cultural pattern interrupt & addressing grandparent myths,Top of Funnel (Viral Reach),35 sec,Share this video with family elders who need to hear the scientific reality.,Save for clinical reference.,"Firm, empathetic close-up of Dr. Atul + split red/green graphic.",Doctor reviewing developmental milestone chart.,None,Yes,Yes (Strong cold reach awareness asset),Dr. Atul Batch 1,Ready to Script,Generates strong comment debates; massive shares.
Day 5 (Fri),Week 1,Friday,"Instagram, YouTube, Facebook",Reel / Short,AA-SH-004,P4: What Is The Therapist Actually Doing?,AA | What Therapist Does,The Sensory Swing: Vestibular Science Decoded,Aapko lag raha hai therapist bachhe ko swing par jhula raha hai? Asal me ye 3 sensory skills build ho rahi hain.,Senior Occupational Therapist,Delhi EOK,Delhi,Hinglish,Demystifying sensory integration & showcasing physical sensory gym,Mid Funnel (Consideration),34 sec,What therapy activity looks like play to you? Comment and we'll explain it!,Follow Autism Alliance for clinical transparency.,Therapist demonstrating platform swing + voiceover explaining vestibular regulation.,Wide shot of East of Kailash sensory gym and soft crash mats.,None,Yes,Yes,Delhi EOK Shoot 1,Ready to Script,Highlights the world-class infrastructure of East of Kailash centre.
Day 6 (Sat),Week 1,Saturday,YouTube (Long-Form) + IG/FB Cut,YouTube Long-Form (10 min) + Promo Reel,AA-YT-001,P1: Dr. Atul Explains,Dr. Atul Masterclass,Speech Delay vs Autism: The Complete Parent Decision Guide,YT: 'Speech Delay or Autism? 4 Questions Every Parent Must Ask' | Reel: 'Khel khel me pata karein speech delay hai ya autism.',Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,Evergreen search capture & deep trust building,Mid to Deep Trust,10:45 min,Subscribe to our YouTube channel and download the free assessment rubric linked in description.,Call our clinic helpline for an in-person evaluation.,Multi-camera studio setup + on-screen chapter slides.,Therapist demonstration cutaways matching Dr. Atul's spoken points.,None,Yes,Yes (YouTube In-Feed Search Ad),Master YouTube Shoot 1,Ready to Script,Acts as the anchor content from which 4 Shorts are extracted.
Day 7 (Sun),Week 1,Sunday,"Instagram, Facebook, Stories",Reel + Weekly Story Q&A,AA-SH-005,P10: Parent Questions & Q&A,AA | Sunday Parent Q&A,DM Q&A: 'My Child Does Not Respond When Called by Name',"Is hafte DMs me 42 parents ne ek hi sawaal pucha: 'Bachha apna naam sun kar nahi mudta, kya ye autism hai?'",Dr. Atul Madaan,Delhi EOK,Delhi,Hinglish,"Community engagement, social proof, and question box submission loop",Retention & Trust,40 sec,Drop your question in today's Story box for next Sunday's episode!,DM us directly for local clinic consultation slots.,Casual handheld or desk setting with Dr. Atul reviewing questions on tablet.,Screenshot overlays of anonymous parent questions.,None,Yes,No (Organic community builder),Dr. Atul Batch 1,Ready to Script,Creates an interactive weekly appointment for parents.
Day 8 (Mon),Week 2,Monday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-008,P3: 30 Seconds For Parents,AA | Therapist Shows,Meltdown vs Tantrum: The Physical Difference,Bachha zameen par let kar ro raha hai? Tantrum aur sensory meltdown me zameen aasmaan ka farak hai.,Senior Occupational Therapist,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,30 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 2 execution.
Day 9 (Tue),Week 2,Tuesday,"Instagram, Facebook",Carousel,AA-PUB-009,P8: Parent Training Program,AA | Dr. Atul Explains,"How to Choose Between ABA, OT and Speech Therapy","Aapka bachha diagnosis ke baad kahan jaye? ABA, OT ya Speech? Ye decision chart dekhein.",Autism Alliance Clinical Team,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,8 Slides Carousel,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 2 execution.
Day 10 (Wed),Week 2,Wednesday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-010,P1: Dr. Atul Explains,AA | 30 Sec Parents,Stimming: Why You Must Never Force a Child to Stop,Stimming ko zabardasti rokna bachhe ke nervous system ko hurt kar sakta hai. Yahan samajhiye kyun.,Dr. Atul Madaan,Ludhiana,Ludhiana,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,35 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Ludhiana.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Ludhiana Batch Filming,Planned,Scheduled for Week 2 execution.
