Date,Week,Day,Content_Type,ID_Link,Series,Pillar,Format,Characters,Topic,Exact_Hook,Audio_Tone,CTA,Clinical_Review,Channel_Focus,Production_Status
2026-09-07,Week 1,Monday,Animated Reel (9:16),GD-R001,Gappu & Dolly: Connect,P1: GAPPU ASKS,Format 1 / Micro-Story,Gappu & Dolly,Why Don't You Look At Me?,"Dolly, why does our friend look at the wall when we talk?","Warm, Curious, Empathetic",Share this with an educator,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-09-08,Week 1,Tuesday,Interactive Story Series,STORY-D02,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-09-09,Week 1,Wednesday,Animated Reel (9:16),GD-R002,Gappu & Dolly: Connect,P1: GAPPU ASKS,Format 1 / Micro-Story,Gappu & Dolly,Why That Sound Hurts,"Dolly, why did Kabir run away when Maa started the mixer?","Warm, Curious, Empathetic",Save this for noisy family events,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-09-10,Week 1,Thursday,Interactive Story Series,STORY-D04,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-09-11,Week 1,Friday,Animated Reel (9:16),GD-R003,Gappu & Dolly: Connect,P1: GAPPU ASKS,Format 1 / Micro-Story,Gappu & Dolly,Why Repeat That Cartoon Line?,"Dolly, why is he repeating Peppa Pig dialogues instead of answering?","Warm, Curious, Empathetic",DM 'SPEECH' for communication guide,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-09-12,Week 1,Saturday,Hybrid Reel (Mascot + Real Footage),HYBRID-W01,Gappu & Dolly × Real Centres,P9: THERAPY ROOM ADVENTURES,Format 5 / Therapist Explains,"Gappu, Dolly, Dr. Atul / Real Therapist",Real Centre Footage with Animated Mascot Takeaway,Gappu wonders why therapists play games... Dr. Atul explains the neuroscience!,"Professional, Uplifting, Grounded","Visit Autism Alliance in Delhi, Faridabad, Ludhiana",CLINICAL REVIEW REQUIRED,Instagram Collab & Facebook Master,Scheduled
2026-09-13,Week 1,Sunday,Sunday Parent Affirmation Post,SUN-D07,Parents First Sunday,P10: PARENTS FIRST STORIES,Static Carousel / Illustrated Quote,Gappu & Dolly,You Are Doing Enough: A Message to Mothers,Take a deep breath. You are the best parent for your child.,"Gentle, Meditative, Soothing",Share with an exhausted parent today,Approved,"Instagram Feed, FB Group, Community",Scheduled
2026-09-14,Week 2,Monday,Animated Reel (9:16),GD-R004,Gappu & Dolly: Connect,P1: GAPPU ASKS,Format 1 / Micro-Story,Gappu & Dolly,Why Does He Spin The Wheels?,"Dolly, why does Kabir flip the toy car upside down and spin wheels?","Warm, Curious, Empathetic",Respect all forms of joyful play,Approved,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-09-15,Week 2,Tuesday,Interactive Story Series,STORY-D09,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-09-16,Week 2,Wednesday,Animated Reel (9:16),GD-R005,Gappu & Dolly: Connect,P1: GAPPU ASKS,Format 1 / Micro-Story,Gappu & Dolly,Why Does Sitting Still Hurt?,"Dolly, why does our friend wriggle like a fish on his chair?","Warm, Curious, Empathetic",Share with your child's class teacher,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
2026-09-17,Week 2,Thursday,Interactive Story Series,STORY-D11,Gappu & Dolly Story Time,P4: WHAT WOULD YOU DO?,Format 4 / Guess The Feeling Sticker,Gappu & Dolly,Interactive Story Poll on Toddler Behaviors,Gappu asks: What would you do if your child screams at haircut scissors?,"Playful, Conversational",Vote in the poll sticker,Approved,Instagram Stories & WhatsApp Status,Scheduled
2026-09-18,Week 2,Friday,Animated Reel (9:16),GD-R006,Gappu & Dolly: Connect,P1: GAPPU ASKS,Format 1 / Micro-Story,Gappu & Dolly,Why Did Plans Change Melt Him Down?,"Dolly, we only changed the park to the mall... why the big tears?","Warm, Curious, Empathetic",Save our 5-Minute Warning routine,CLINICAL REVIEW REQUIRED,"IG Reels, YT Shorts, FB Reels",Scheduled
