ID,City,Page,Pillar,Series,Exact_Title,Exact_Hook,Core_Message,Speaker,Shooting_Location,Ideal_Duration,Shots,B_Roll,On_Screen_Text,CTA,Collaboration_Opportunity,Organic_Objective,Paid_Suitability,Clinical_Review_Flag,Repurposing_Opportunity
D-01,Delhi,@autismalliance_delhi,Delhi Content Layer,Speech Delay vs Early Signs in South Delhi,Speech Delay vs Early Signs in South Delhi,"South Delhi parents ask: Mera 2-saal ka bachha bolta nahi, kya ye autism hai?",Speech delay alone is not autism; evaluate joint attention and pointing gestures.,Dr. Atul Madaan,C-3 East of Kailash Studio,45s,Chest-up talking head + cutaway to pointing gestures,Close-up of toddler index finger pointing to toy,Speech Delay vs Autism: 3 Signs,DM 'ASSESS' for evaluation,Harpreeth Suri,Share-rate,High,CLINICAL REVIEW REQUIRED,Extract 2 YT Shorts
D-02,Delhi,@autismalliance_delhi,Delhi Content Layer,Nursery Admissions & RPwD Law in Delhi,Nursery Admissions & RPwD Law in Delhi,South Delhi private schools me admission ke waqt aapke bachhe ke legal rights kya hain?,RPwD Act 2016 Section 16 mandates inclusive education; schools cannot deny admission based on disability.,Special Educator,EOK Quiet Cabin,40s,Presenter holding official gazette copy,Classroom desk with visual timetable cards,School Admission Rights | RPwD 2016,Save this legal rights checklist,Bluebells International,Save-rate,High,CLINICAL REVIEW REQUIRED,Carousel slide deck
D-03,Delhi,@autismalliance_delhi,Delhi Content Layer,Inside C-3 East of Kailash Sensory Gym,Inside C-3 East of Kailash Sensory Gym,South Delhi ke Main Road par ek aisi space jahan sensory overload calm hota hai.,A peek inside our specialized sensory integration gym right opposite Shri Radha Krishna Mandir.,Senior OT,EOK Sensory Gym,35s,Smooth gimbal walking tour from reception to swings,Platform swing gently swaying; tactile stepping stones,Sensory Integration Hub | East of Kailash,Visit us at C-3 East of Kailash,None,Familiarity,High,Approved,Google Maps GBP Video
D-04,Delhi,@autismalliance_delhi,Delhi Content Layer,Select CityWalk Mall Meltdown Protocol,Select CityWalk Mall Meltdown Protocol,Select CityWalk me shopping ke waqt jab bachha sensory scream kare...,High fluorescent lighting and acoustic echoes trigger fight-or-flight; 3 steps to co-regulate.,Dr. Atul Madaan,EOK Studio,45s,Dr. Atul speaking warmly with compassionate gaze,Parent holding child safely in a quiet corner,Mall Meltdown Support | Non-Verbal Calm,Save this co-regulation guide,Sonal Katyal,Share-rate,High,CLINICAL REVIEW REQUIRED,Story summary
D-05,Delhi,@autismalliance_delhi,Delhi Content Layer,When Pediatricians Note Milestone Pauses,When Pediatricians Note Milestone Pauses,South Delhi pediatrician wellness visit ke baad child psychologist kab consult karein?,Developmental milestones require clinical psychologists when reciprocal social engagement lags.,Dr. Atul Madaan,EOK Studio,40s,Dr. Atul seated with pediatric assessment folder,Stethoscope beside milestone growth chart,Pediatric Referral Timeline,Call EOK Desk: 011-26465032,Apollo Cradle Pediatricians,Lead generation,High,CLINICAL REVIEW REQUIRED,LinkedIn medical post
D-06,Delhi,@autismalliance_delhi,Delhi Content Layer,Maternal Burnout in South Delhi Nuclear Homes,Maternal Burnout in South Delhi Nuclear Homes,Ek maa jo sab sambhal rahi hai... par khud ke nervous system ke liye time nahi hai.,Parental self-compassion is the foundation of co-regulation; exhausted parents cannot regulate a child.,Parent Educator,EOK Parent Lounge,45s,Warm conversation style with tea cup on table,Mother breathing deeply in quiet corner,Parent Burnout | You Are Doing Enough,Register for Delhi Parent Circle,Harpreeth Suri,Empathy & Trust,Medium,Approved,Story AMA discussion
D-07,Delhi,@autismalliance_delhi,Delhi Content Layer,Speech Therapy & OT Synergy at EOK,Speech Therapy & OT Synergy at EOK,Speech therapy tabhi kaam karegi jab sensory regulation pehle achieve ho.,"A dysregulated, restless child cannot sit for speech; Occupational Therapy builds the neurological base.",Lead OT & SLP,EOK Sensory Gym,45s,OT and SLP standing together demonstrating synergy,Child hand pointing on communication board on swing,OT + Speech: Why They Work Together,Book integrated assessment,None,Conversion,High,CLINICAL REVIEW REQUIRED,YouTube Short
D-08,Delhi,@autismalliance_delhi,Delhi Content Layer,Nehru Place Metro Loud Noise Sensitivity,Nehru Place Metro Loud Noise Sensitivity,Metro station ke horn aur shor se bachha kaan kyu band karta hai?,Hyperacusis and sensory auditory processing explained; why simple ear defenders offer dignity.,Senior OT,EOK Cabin,35s,OT holding noise-canceling headphones,Macro shot of foam ear cushions,Auditory Sensitivity | Not Bad Behavior,Save for your next Delhi commute,None,Utility,Medium,Approved,Carousel slide
D-09,Delhi,@autismalliance_delhi,Delhi Content Layer,South Delhi School PTM Preparation,South Delhi School PTM Preparation,School PTM par teacher kahe 'bachha class me distract hota hai' — what to say.,How to partner with teachers constructively rather than becoming defensive.,Special Education Lead,EOK Cabin,40s,Teacher holding IEP document,Sample accommodation checklist,PTM Survival Guide | Inclusive Schools,DM 'PTM' for our educator guide,Tagore International,Save-rate,High,CLINICAL REVIEW REQUIRED,Parent handout
D-10,Delhi,@autismalliance_delhi,Delhi Content Layer,Eye Contact: Why It Is Not Goal #1,Eye Contact: Why It Is Not Goal #1,South Delhi parents: Bachhe se eye contact force karna band kijiye.,Autistic individuals often process auditory language better when looking away; joint attention beats eye gaze.,Dr. Atul Madaan,EOK Studio,45s,"Dr. Atul direct to camera, measured pace",Therapist playing alongside child looking at same toy,Rethinking Eye Contact | Brain Science,Share with an anxious parent,Kidsstoppress,Authority,High,CLINICAL REVIEW REQUIRED,Podcast teaser
D-11,Delhi,@autismalliance_delhi,Delhi Content Layer,Echolalia: Repeating Dialogue Decoded,Echolalia: Repeating Dialogue Decoded,Bachha YouTube rhymes repeat karta hai par sawaal nahi bolta?,Gestalt Language Processing; acknowledging script communication as an early speech milestone.,Lead Speech Pathologist,EOK Speech Cabin,40s,SLP demonstrating sentence strips,Child toy microphone and picture cards,Gestalt Language Processing | Echolalia,DM 'SPEECH' for guidance,1SpecialPlace,Save-rate,High,CLINICAL REVIEW REQUIRED,Speech carousel
D-12,Delhi,@autismalliance_delhi,Delhi Content Layer,Sensory Defensiveness to Winter Sweaters,Sensory Defensiveness to Winter Sweaters,Delhi ki sardi me bachha warm jackets pehnne se roye toh kya karein?,Tactile defensiveness against woolen textures; seamless thermal layering solutions.,Senior OT,EOK Sensory Gym,35s,OT feeling different fabric swatches,Cotton seamless undergarments on display,Tactile Sensitivity | Winter Clothing,Save this seasonal clothing tip,None,Utility,Low,Approved,Winter Story hack
D-13,Delhi,@autismalliance_delhi,Delhi Content Layer,RCI Registered vs Unqualified Clinics,RCI Registered vs Unqualified Clinics,Autism therapy centre chunne se pehle RCI CRR number kyu check karein?,Rehabilitation Council of India statutory standards protect children from untrained commercial setups.,Dr. Atul Madaan,EOK Studio,40s,Dr. Atul holding RCI registration certificate,Macro view of official accreditation credentials,Ethical Clinical Standards | RCI Regd,Consult RCI qualified specialists,Action for Autism,Trust moat,High,Approved,Website trust badge
D-14,Delhi,@autismalliance_delhi,Delhi Content Layer,The 15-Minute South Delhi Home Play Routine,The 15-Minute South Delhi Home Play Routine,Gym jaane ki zaroorat nahi; ghar par 15 minute ka intentional play routine.,Floor-time joint engagement using laundry baskets and pillows builds motor pathways.,Special Educator,EOK Activity Room,45s,Demonstrating pillow obstacle course,Hands placing colorful markers on floor,15-Minute Home Sensory Routine,Save this home game,DELMO,Save-rate,High,Approved,Reel series
D-15,Delhi,@autismalliance_delhi,Delhi Content Layer,Managing Public Stares in South Delhi Markets,Managing Public Stares in South Delhi Markets,GK M-Block market me jab log aapke bachhe ko dekhein... your mental shield.,Reframing external social judgment; your loyalty is to your child's nervous system.,Dr. Atul Madaan,EOK Studio,40s,Empathetic close-up of Dr. Atul,Calm parent holding hands with toddler,Public Judgment | A Message to Parents,Share this emotional reminder,Sonal Katyal,Emotional bond,Medium,Approved,Quote card
D-16,Delhi,@autismalliance_delhi,Delhi Content Layer,Preschool Shadow Teacher Decision Tree,Preschool Shadow Teacher Decision Tree,Aapke bachhe ko shadow teacher kab chahiye aur kab nahi?,"Shadow teachers should build independence, not create permanent behavioral dependency.",Head Special Educator,EOK Classroom Setup,40s,Educator explaining independence chart,Visual timetable on wooden table,Shadow Teachers: When & Why,Save this educational roadmap,Tagore International,Save-rate,High,CLINICAL REVIEW REQUIRED,Guide download
D-17,Delhi,@autismalliance_delhi,Delhi Content Layer,Understanding Tiptoe Walking in Toddlers,Understanding Tiptoe Walking in Toddlers,Bachha panjon ke bal kyu chalta hai? Sensory vs Orthopedic reality.,Vestibular seeking vs tight Achilles tendon; why an OT sensory assessment is needed before exercises.,Lead OT,EOK Sensory Gym,35s,OT observing simulated foot movement on textured mat,Textured stepping stones and foam wedges,Tiptoe Walking | Sensory Seeking,Book an OT assessment,None,Save-rate,High,CLINICAL REVIEW REQUIRED,Short clip
D-18,Delhi,@autismalliance_delhi,Delhi Content Layer,Diwali Firecrackers & Sensory Preparation,Diwali Firecrackers & Sensory Preparation,Delhi Diwali crackers se pehle sensory-sensitive bachhe ko kaise prepare karein.,Creating a safe quiet sanctuary room and noise-reduction routines 3 days prior.,Senior OT,EOK Sensory Gym,40s,OT demonstrating soft indoor tent setup,Weighted blanket and calming low light lamp,Festival Sensory Readiness,Save this festival guide,DELMO,Seasonal share,High,Approved,Seasonal carousel
D-19,Delhi,@autismalliance_delhi,Delhi Content Layer,Food Texture Gagging at Dinnertime,Food Texture Gagging at Dinnertime,Dal-chawal ya khichdi dekh kar bachha ulti jaisa react kyu karta hai?,Oral sensory defensiveness against mixed wet textures; gentle food chaining framework.,Pediatric OT,EOK Activity Table,40s,OT demonstrating crunchy vs pureed texture progression,Dry pasta and sensory spoons,Food Texture Aversions | Feeding OT,DM 'FEEDING' for guide,Dr. Garima Malhotra,Save-rate,High,CLINICAL REVIEW REQUIRED,Feeding guide
D-20,Delhi,@autismalliance_delhi,Delhi Content Layer,Sibling Support: The Other Child at Home,Sibling Support: The Other Child at Home,Special needs bachhe ke sibling ko neglected feel na ho... 3 parenting balance steps.,Dedicated 10-minute 1-on-1 parent time prevents glass child syndrome.,Family Counselor,EOK Parent Lounge,45s,Counselor speaking gently,Two hands drawing together on paper,Sibling Support | Family Balance,Share with special needs families,Ginny's Planet,Community trust,Medium,Approved,Webinar promo
D-21,Delhi,@autismalliance_delhi,Delhi Content Layer,What Happens During a 45-Minute Assessment?,What Happens During a 45-Minute Assessment?,East of Kailash me pehli consultation me hum actually kya observe karte hain.,"Transparent walkthrough of developmental observation, play assessment, and parent interview.",Dr. Atul Madaan,EOK Assessment Suite,45s,Dr. Atul showing standardized observation toys,Wooden puzzle blocks and bubbles,Inside Clinical Assessment | EOK,Book your evaluation session,None,Direct conversion,High,Approved,Centre landing page
D-22,Delhi,@autismalliance_delhi,Delhi Content Layer,Screen Time Replacement: 3 Offline Activities,Screen Time Replacement: 3 Offline Activities,Phone chheenne ke badle bachhe ke haath me ye 3 sensory toys dein.,Replacing passive dopamine with active tactile stimulation using kinetic sand and water beads.,Senior OT,EOK Sensory Gym,40s,Hands squishing kinetic sand in wooden tray,Bright sensory textured balls,Screen Replacement Activities,Save this sensory recipe,Manika Mishra,Save-rate,High,Approved,Story reel
D-23,Delhi,@autismalliance_delhi,Delhi Content Layer,AuDHD: When Autism & ADHD Overlap,AuDHD: When Autism & ADHD Overlap,Bachha routine bhi chahta hai par ek jagah baith bhi nahi sakta: AuDHD decoded.,The neurological conflict between the autistic need for predictability and ADHD novelty seeking.,Dr. Atul Madaan,EOK Studio,45s,Dr. Atul drawing Venn diagram on digital screen,Visual split screen of routine vs movement,AuDHD Decoded | Autism + ADHD,Save this neurodiversity explainer,Dr. Sid Warrier,Authority,High,CLINICAL REVIEW REQUIRED,YouTube Long clip
