Date,Week,City,Page,Platform,Format,Series,Topic,Exact Hook,Presenter,Guest,Shoot Location,Objective,Funnel,CTA,Collaboration,Live/Event Link,Repurpose Source,Paid Eligible,Clinical Review,Production Status
2026-09-07,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Ask The Expert,Speech Delay vs Early Signs,"South Delhi parents ask: Mera 2-saal ka bachha bolta nahi, kya ye autism hai?",Dr. Atul Madaan,None,C-3 East of Kailash,Authority,TOFU,DM 'ASSESS' for Delhi evaluation,No,None,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-08,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Carousel,AA DELHI | School Conversations,Classroom Inclusion & RPwD Act,South Delhi private schools me aapke bachhe ke legal rights kya hain?,Special Educator,Delhi School Counselor,EOK Quiet Cabin,Education,MOFU,Save this school rights guide,Yes (Bluebells/Tagore),None,Original EOK Shoot,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-09,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Inside EOK,Sensory Gym Platform Swing Tour,South Delhi ke Main Road par ek aisi space jahan sensory overload calm hota hai.,Senior OT,None,EOK Sensory Gym,Familiarity,MOFU,Visit C-3 East of Kailash Main Road,No,None,EOK B-Roll Batch,Yes,Approved,Scheduled
2026-09-10,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | South Delhi Parent Questions,Meltdowns in Select CityWalk Malls,South Delhi ke malls me jab bachha floor par let kar scream kare...,Dr. Atul Madaan,South Delhi Mom Creator,EOK Studio,Empathy,TOFU,Save for your next weekend family outing,Yes (Harpreeth Suri),Live Session 1,Original EOK Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-11,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Doctor x Therapist,Pediatrician Referral Timeline,Pediatrician OPD checkup ke baad child psychologist kab consult karein?,Dr. Atul Madaan,Senior South Delhi Pediatrician,EOK Studio,Referral Trust,BOFU,Call our East of Kailash desk: 011-26465032,Yes (Apollo/Fortis),None,Doctor Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-12,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Carousel,AA DELHI | The Delhi Parent Circle,Maternal Burnout & Joint Families,Ek maa jo sab sambhal rahi hai... par khud ke liye time nahi hai.,Parent Educator,None,EOK Parent Lounge,Community,MOFU,Register for South Delhi Parent Circle,No,Parent Circle Event,Original EOK Shoot,No,Approved,Scheduled
2026-09-13,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Multidisciplinary Milestones,Speech and OT Coordination,Speech therapy tabhi kaam karegi jab sensory regulation pehle ho.,Lead OT & SLP,None,EOK Sensory Gym,Conversion,BOFU,Book integrated assessment at East of Kailash,No,None,EOK Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-14,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Ask The Expert,Speech Delay vs Early Signs,"South Delhi parents ask: Mera 2-saal ka bachha bolta nahi, kya ye autism hai?",Dr. Atul Madaan,None,C-3 East of Kailash,Authority,TOFU,DM 'ASSESS' for Delhi evaluation,No,None,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-15,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Carousel,AA DELHI | School Conversations,Classroom Inclusion & RPwD Act,South Delhi private schools me aapke bachhe ke legal rights kya hain?,Special Educator,Delhi School Counselor,EOK Quiet Cabin,Education,MOFU,Save this school rights guide,Yes (Bluebells/Tagore),None,Original EOK Shoot,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-16,Week 2,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Inside EOK,Sensory Gym Platform Swing Tour,South Delhi ke Main Road par ek aisi space jahan sensory overload calm hota hai.,Senior OT,None,EOK Sensory Gym,Familiarity,MOFU,Visit C-3 East of Kailash Main Road,No,None,EOK B-Roll Batch,Yes,Approved,Scheduled
