Hashtag Bank - pick 3–5 per post (2026 rules),,,,
Bucket,Hashtag,When to use,,
Broad,#autism,Always - bucket 1,,
Broad,#autismawareness,When tied to awareness moments / late diagnosis,,
Broad,#asd,When clinical tone,,
India,#autismindia,Always - bucket 2,,
India,#autisminindia,Alternate to #autismindia,,
Audience,#autismparents,"P1, P2, P3, P5 content",,
Audience,#autismmom,"P1, P3 content - parent-emotion led",,
Audience,#autismadults,P4 content only,,
Audience,#neurodivergent,P4 content,,
Audience,#audhd,P4 content - when AuDHD topic,,
Vertical,#earlysigns,P1 specifically,,
Vertical,#earlydiagnosis,"P1, P5",,
Vertical,#stimming,P3 stimming posts,,
Vertical,#sensoryneeds,P3 sensory posts,,
Vertical,#meltdown,P3 meltdown posts,,
Vertical,#abatherapy,P2,,
Vertical,#speechtherapy,P2 speech,,
Vertical,#occupationaltherapy,P2 OT,,
Vertical,#aac,P2 AAC/PECS,,
Vertical,#latediagnosis,P4,,
Vertical,#masking,P4 masking,,
Vertical,#burnout,P4 burnout,,
Pathway,#disabilitycertificate,P5 RCI/UDID,,
Pathway,#rci,P5 RCI,,
Pathway,#school,P5 school content,,
Pathway,#rte,P5 school/RTE,,
Location,#ludhiana,Local lift - always include one of these,,
Location,#drludhiana,Local lift,,
Location,#punjab,When regional emphasis,,
Location,#indianparents,Broader India lift,,
