Tier,Podcast Name,Host,City,Instagram,YouTube,Spotify_Apple,Recent Activity,Approximate Audience,Type of Guests,Autism Parenting Relevance,Why Dr Atul Fits,Possible Episode Topic,Public Contact Route,Likely Paid/Editorial,Priority Score (1-10),Verification Status,Date Verified,Evidence URL
Tier A,Kidsstoppress Podcast,Mansi Zaveri,Mumbai / National,@kidsstoppress,Kidsstoppress,Kidsstoppress on Spotify,Active weekly episodes on parenting & child health,600K+ cross-platform; educated Indian parents,"Pediatricians, psychologists, nutritionists, conscious celebrity parents",India's premier parenting platform; regular deep dives into speech delay and milestones,"RCI registered clinical psychologist offering non-alarmist, compassionate clarity for mothers",The First 6 Months After Autism Diagnosis: What Indian Parents Misunderstand,mansi@kidsstoppress.com / contact@kidsstoppress.com,Editorial / Guest Appearance,10,VERIFIED,Sep 2026,https://www.kidsstoppress.com/
Tier A,Gunjan Talks,Gunjan Taneja,Delhi NCR / National,@gunjanshouts,Gunjan Talks,Gunjan Talks on Spotify,"Weekly studio video podcast on health, lifestyle & parenting",1.8M+ YouTube subscribers; young urban couples & families,"Doctors, pediatric specialists, fitness experts, child psychologists","Frequently covers toddler development, screen addiction, and nutrition",Demystifies the 'virtual autism' screen-time panic with calm clinical science,"Screen Time, Delayed Speech & Autism: What Is Really Happening to Indian Toddlers?",business@gunjantaneja.com,Editorial Pitch / Co-Production,10,VERIFIED,Sep 2026,https://www.youtube.com/@GunjanTalks
Tier A,The Ranveer Show (TRS Hindi),Ranveer Allahbadia,Mumbai / National,@beerbiceps,The Ranveer Show,The Ranveer Show on Spotify,Active multiple episodes weekly,7M+ YouTube subscribers; pan-India massive reach,"Top neuroscientists, pediatricians (Dr. Arpit Gupta), psychiatrists, authors","Regular high-performing episodes exploring brain health, childhood trauma, and neurodiversity","Articulates deep child psychology in accessible, warm Hindi with immense gravitas",The Hidden Epidemic of Developmental Delays in India: An RCI Psychologist Speaks,team@beerbiceps.com,Editorial High-Credibility Pitch,9,VERIFIED,Sep 2026,https://beerbiceps.com/
Tier A,Figuring Out,Raj Shamani,Mumbai / National,@rajshamani,Raj Shamani,Figuring Out on Spotify,"Weekly business, society & human behavior interviews","4M+ YouTube subscribers; millennial parents, entrepreneurs","Healthcare pioneers, developmental pediatricians (Dr. Samir Dalwai), thought leaders",Episodes covering pediatric healthcare and modern parenting realities gain massive virality,Brings the 'Parents are the Real Therapists' systemic revolution to a mass audience,Why the Indian Education System and Clinics Are Failing Special Needs Children,business@rajshamani.com,Editorial Pitch,9,VERIFIED,Sep 2026,https://www.youtube.com/@rajshamani
Tier B,Parenting Aaj Kal,Dr. Vibha Krishnamurthy,Mumbai / National,@ummeedcdc,Parenting Aaj Kal,Parenting Aaj Kal on Spotify,Dedicated developmental pediatrics series,"45K+ special needs families, clinicians & educators across India","Developmental pediatricians, speech therapists, neurodivergent advocates, psychologists","100% focused on developmental differences, autism, inclusion and family mental health",Peer clinical alignment; Dr. Atul's RCI clinical psychology work mirrors Ummeed's ethical ethos,Parent-Mediated Therapy vs Clinic Dependency: Empowering the Family,info@ummeed.org / podcast@ummeed.org,Organic Clinical Peer Dialogue,10,VERIFIED,Sep 2026,https://ummeed.org/
Tier B,Little Fixes Podcast,Maitri Verma,Delhi NCR / National,@littlefixespodcast,Little Fixes,Little Fixes on Spotify,Active bi-weekly episodes on practical parenting hacks,30K+ urban Indian mothers navigating toddler & school challenges,"Child counselors, gentle parenting advocates, doctors, mom entrepreneurs","Explores everyday mother burnout, toddler emotional dysregulation, and sensory routines",Practical advice for mothers on co-regulation and managing meltdowns without guilt,Gentle Parenting for the High-Energy & Sensory-Sensitive Child,littlefixespodcast@gmail.com,Organic Guest Interview,9,VERIFIED,Sep 2026,https://littlefixespodcast.com/
Tier B,Dr. Sid Warrier Podcast,Dr. Sid Warrier,Mumbai / National,@thedrsidwarrier,Dr. Sid Warrier,Dr. Sid Warrier on Spotify,Weekly conversations on neuroscience & mental health,"180K+ YouTube subscribers; curious minds, psychologists, medical students","Neurologists, psychiatrists, cognitive psychologists, neurodivergent individuals","Explains brain wiring, neurotransmitters, and neurodiversity with immense scientific rigor",Deep exploration of neuroplasticity in the toddler brain (ages 1 to 5),The Neurobiology of Autism: How the Spectrum Brain Processes the Sensory World,sidwarrier.neuro@gmail.com,Organic Intellectual Exchange,9,VERIFIED,Sep 2026,https://www.youtube.com/@DrSidWarrier
Tier B,The Habit Coach,Ashdin Doctor,Mumbai / National,@ashdindoctor,IVM Podcasts,The Habit Coach on Spotify,Daily bite-sized & weekly long-form habit podcasts,150K+ listeners across IVM network; working professionals & parents,"Behavioral psychologists, productivity experts, wellness clinicians",Creating structured micro-habits and visual daily routines for high-stress households,Explains how 15 minutes of structured play habit changes child developmental trajectories,Habits for Anxious Parents: Turning Daily Home Chaos into Calming Routines,contact@ivmpodcasts.com,Editorial Feature,8,VERIFIED,Sep 2026,https://ivmpodcasts.com/the-habit-coach
Tier B,Momspresso Video Talk Series,Momspresso Editorial,Delhi NCR / National,@momspresso,Momspresso Hindi,Momspresso Audio,"Active community blogs, video interviews & expert Q&As",2M+ Indian mothers across tier-1 and tier-2 North India,"Gynecologists, pediatricians, child development experts, celebrity mothers",Massive maternal search traffic regarding toddler speech delays and developmental red flags,"Speaks fluent, relatable Hindi that addresses the exact fears of Hindi-speaking mothers",Bachha Bol Kyu Nahi Raha? Speech Delay vs Autism: Doctor Se Jaaniye Asli Sach,support@momspresso.com / editorial@momspresso.com,Editorial Partnership / Sponsored Video Series,9,VERIFIED,Sep 2026,https://www.momspresso.com/
Tier B,The BarberShop with Shantanu,Shantanu Deshpande,Delhi NCR,@thebarbershopwithshantanu,The BarberShop with Shantanu,Spotify / Apple Podcasts,Active weekly long-form discussions with founders & experts,"350K+ YouTube; modern urban founders, professionals & parents in Delhi NCR","Founders, healthcare leaders, doctors, psychologists","Deep discussions on modern family realities, mental health, and building healthcare institutions",Shares the 20-year journey of founding Autism Alliance and revolutionizing autism care in India,Building Ethical Healthcare in India: The Autism Alliance Story,barbershop@bombayshavingcompany.com,Editorial Founder Pitch,8,VERIFIED,Sep 2026,https://www.youtube.com/@TheBarbershopwithShantanu
Tier C,PBX Punjabi Conversations / Chardi Kala Health,Regional Punjabi Media Lead,Ludhiana / Punjab,@chardikala_official,Chardi Kala Time TV / YouTube,YouTube Native Shows,Regular broadcast of health & wellness panel discussions,100K+ Punjab households; regional joint families,"Local Punjab doctors, pediatric specialists, agricultural & business leaders",Reaches grandparents and joint family elders who hold veto power over child therapy,"Ludhiana clinical pioneer speaking respectful, culturally rooted Punjabi/Hindi",Punjab De Parivaaran Vich Bachhe Di Speech Delay: Dawa Ya Therapy?,info@chardiklatimetv.com / local Ludhiana desk,Regional Organic Feature,9,PARTIALLY VERIFIED,Sep 2026,https://www.youtube.com/
Tier C,Ludhiana Live Community Talks,Ludhiana Moms Club Lead,Ludhiana (Punjab),@ludhianamomsclub,Ludhiana Community Page,Facebook Live / IG Native,Monthly interactive sessions for local Ludhiana mothers,"18,000+ local mothers living in Model Town, Sarabha Nagar, Dugri, Civil Lines","Local pediatricians, school principals, child psychologists",Direct local recommendation engine for parents seeking therapies in Ludhiana,Practicing right in Kochar Market Road; immediate geographic accessibility,Expert Therapy In Our Own City: Dr. Atul Madaan Answers Ludhiana Mothers,Facebook group admin / direct Instagram DM,Community Barter / Guest Session,9,VERIFIED,Sep 2026,https://www.facebook.com/groups/ludhianamoms
Tier C,Voice of Faridabad Spotlight,Voice of Faridabad Editorial,Faridabad (Haryana),@voiceoffaridabad,Voice of Faridabad TV,YouTube / Facebook,"Local city development updates, healthcare launches, community news",75K+ local Faridabad residents across Sectors 14–21 and NIT,"City officials, prominent hospital doctors (AIMS, Sarvodaya), educators",Previously covered the launch of Autism Alliance at Crown Plaza Mall Sector 15A,Demonstrates world-class child development infrastructure within Faridabad,Inside Crown Plaza Sector 15A: How Specialized Therapy is Changing Faridabad Families,contact@voiceoffaridabad.com / Facebook page message,Local Media Editorial / Sponsored Spotlight,9,VERIFIED,Sep 2026,https://www.facebook.com/voiceoffaridabad
Tier C,Delhi Moms Network Podcast (DELMO Talks),DELMO Founder,Delhi NCR (South Delhi),@delhimomsclub,Delhi Moms TV,Spotify / IG Live series,Bi-weekly webinars and Q&A sessions with child specialists,45K+ verified South Delhi & NCR mothers,"Pediatric dentists, preschool owners, child counselors, mom influencers",High frequency of parent posts regarding delayed speech and school PTM anxieties,Clinical authority based in East of Kailash (adjacent to South Delhi member base),South Delhi Nursery Admissions: Preparing Your Child Without Anxiety,contact@delhimoms.com / Instagram DM,Community Partnership,8,VERIFIED,Sep 2026,https://www.delhimoms.com/
Tier C,The Special Ed Podcast India,Independent SEN Advocate,National / Online,@specialeducationindia,Special Ed India,Spotify,"Monthly interviews on IEPs, RPwD Act, and inclusive classrooms","12K+ special educators, shadow teachers & remedial therapists","RCI special educators, occupational therapists, inclusive school teachers",100% focused on educational inclusion and therapeutic techniques in Indian classrooms,RCI CRR No. A56122 clinical authority bridging school pedagogy and clinical psychology,How Special Educators and Clinical Psychologists Must Collaborate on IEP Goals,specialedpodcastindia@gmail.com,Organic Professional Dialogue,8,PARTIALLY VERIFIED,Sep 2026,https://open.spotify.com/
