Priority,Name,Organisation,Category,City,Instagram,Facebook,YouTube,Website,Followers,Recent Activity,Audience,Why Relevant,Suggested Collaboration,Organic/Paid,Public Contact Route,Potential Conflict,Verification Source,Date Verified,Status
High,Ritu Rathee Taneja,Creator / Flying Beast,Parenting & Family Creator,Delhi NCR (Gurugram),@riturathee,Ritu Rathee,Flying Beast,youtube.com/@FlyingBeast320,1.6M+ (IG),"Active daily family, motherhood & parenting content","Young Indian parents, mothers, urban families",Massive maternal credibility; vocal about positive parenting & child wellness,Podcast interview / Reel with Dr. Atul: 'Modern Screen Time vs Developmental Delay',Paid / Barter partnership,Official business email in bio: rituratheetaneja@gmail.com,High commercial demand; ensure strictly non-commercial educational framing,Instagram verified profile / bambinos.live top Delhi creator list,Sep 2026,Target Identified
High,Harpreeth Suri,Mom Wears Prada,Parenting & Lifestyle Creator,Delhi (South Delhi),@momwearsprada,Mom Wears Prada,Harpreeth Suri,momwearsprada.com,200K+ (IG),"Active motherhood, candid parenting reflections, family travel","Affluent South Delhi & NCR mothers, working moms","Based in South Delhi catchment; highly trusted by mothers in GK, EOK, Def Col",Live AMA with Dr. Atul: 'Dealing with Toddler Tantrums in Public Without Guilt',Paid / Collaborative Live,harpreeth@momwearsprada.com,Lifestyle alignment; frame around real mother struggles,Official website & Instagram profile,Sep 2026,Target Identified
High,Sonal Katyal,Rollercoaster of Motherhood,Parenting Creator,Delhi NCR,@rollercoasterofmotherhood,Rollercoaster of Motherhood,N/A,N/A,150K+ (IG),"Honest emotional motherhood storytelling, mental health",Mothers facing parental burnout and anxiety,Addresses maternal anxiety directly; perfect bridge for parent-first therapy philosophy,Collaborative Reel: 'When a mother feels something is different with her child',Organic / Barter,DM or business email in bio,None,Republic News India top mom creator list,Sep 2026,Target Identified
High,Merry Barua,Action for Autism (AFA),Non-Profit / Advocacy Pioneer,Delhi (South Delhi - Jasola Vihar),@actionforautismin,Action For Autism India,Action For Autism,autism-india.org,25K+ across platforms,"Advocacy seminars, teacher training, early intervention workshops","National autism families, educators, policy makers",National Centre for Autism is located in Jasola (6km from East of Kailash centre),Joint Panel / Educational Live: 'Inclusive Education & Parent Empowerment in India',Strictly Organic Institutional Alliance,actionforautism@gmail.com / +91 11 4054 0991,None; respected pioneer organization,Official website autism-india.org,Sep 2026,Target Identified
High,Dr. Garima Malhotra,Pediatric Dental & Child Health,Healthcare Professional / Creator,Delhi NCR,@dr_garima_malhotra,Dr Garima Malhotra,N/A,collabr.in/drgarimamalhotra,50K+ (IG),"Child healthcare, positive parenting, sensory oral care",Parents of young children focused on health and sensory needs,Dental care for autistic children is a massive sensory battle; mutual synergy,Joint Reel: 'Sensory-Friendly Toothbrushing Hacks for Neurodivergent Kids',Organic Cross-Collab,Official Instagram bio email,None; complementary medical specialty,Collabr & HashFame verified creator index,Sep 2026,Target Identified
Medium,Dr. Yashi,The Compulsive Mommy,Maternal Mental Health & Creator,Delhi NCR,@thecompulsivemommy,The Compulsive Mommy,N/A,republicnewsindia.com,80K+ (IG),"Parenting psychology, postpartum anxiety, emotional regulation",Urban millennial mothers experiencing parental stress,Strong psychological overlap with Dr. Atul's compassionate clinical stance,Collaborative Carousel: 'Guilt vs Science: What to do when developmental milestones lag',Organic / Barter,Instagram DM or bio email,None,Republic News India top parenting list,Sep 2026,Target Identified
High,Head of Inclusive Education / Counselor,Bluebells School International,Inclusive Private School,Delhi (Kailash Colony / South Delhi),@bluebells_school_intl,Bluebells School International,N/A,bluebellsschool.com,15K+,"Inclusive education symposiums, sensory friendly classrooms","South Delhi parents, educators, school community",Directly adjacent to East of Kailash (1.5 km distance),Offline Teacher Workshop by Dr. Atul: 'Identifying Sensory Triggers in the Classroom',Organic Institutional Partnership,contactus@bluebellsschool.com / +91 11 2923 2963,Institutional permissions required,Official school portal & Delhi education directory,Sep 2026,Target Identified
High,Special Education Department,Tagore International School,School / Educator Network,Delhi (East of Kailash),@tagore_international_eok,Tagore International School East of Kailash,N/A,tagoreint.com,12K+,"Community service, inclusive pedagogy, primary section events","East of Kailash, Nehru Place, GK residents",Located in the exact same neighborhood as Autism Alliance Delhi centre,Parent Orientation Guest Session: 'Preparing Your Child for Inclusive Primary School',Organic Community Outreach,eok@tagoreint.com / +91 11 2643 3001,Requires formal school board approval,Official school directory ezyschooling.com,Sep 2026,Target Identified
High,Headmistress / SEN Head,Delhi Public School (Junior School EOK),School,Delhi (East of Kailash),@dpseastofkailash,DPS East of Kailash,N/A,dpseok.net,20K+,"Junior school developmental events, parent teacher meets",Parents of nursery to class 5 in South Delhi,Premier feeder primary school in East of Kailash,Free Early Developmental Screening Camp for nursery students,Community CSR / Partnership,info@dpseok.net / 011-26441111,DPS society strict external engagement protocol,Official portal dpseok.net,Sep 2026,Target Identified
Medium,Principal / Counselor,Cambridge School Srinivaspuri,School,Delhi (Srinivaspuri / South Delhi),@cambridgeschool_srinivaspuri,Cambridge School Srinivaspuri,N/A,snp.cambridgeschool.edu.in,8K+,"Academic readiness, remedial education workshops",South Delhi families near Ring Road & East of Kailash,Immediate catchment school for East of Kailash centre,Teacher training seminar on managing ADHD and sensory meltdowns,Organic Workshop,info.snp@cambridgeschool.edu.in,None,School portal & edustoke,Sep 2026,Target Identified
