Date,Week,City,Page,Platform,Format,Series,Topic,Exact Hook,Presenter,Guest,Shoot Location,Objective,Funnel,CTA,Collaboration,Live/Event Link,Repurpose Source,Paid Eligible,Clinical Review,Production Status
2026-09-07,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Ask The Expert,Speech Delay vs Early Signs,"South Delhi parents ask: Mera 2-saal ka bachha bolta nahi, kya ye autism hai?",Dr. Atul Madaan,None,C-3 East of Kailash,Authority,TOFU,DM 'ASSESS' for Delhi evaluation,No,None,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-07,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Therapist Shows,Bubble Wand Joint Attention Play,Parent Asked. Therapist Shows: Soap bubbles se eye contact kaise encourage karein.,Faridabad Senior SLP,None,Crown Plaza LG-06,Save-Rate,TOFU,Try this play technique at home today,No,None,Faridabad Batch 1,Yes,Approved,Scheduled
2026-09-07,Week 1,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Before You Assume,Speech Delay vs Autism Spectrum,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,Dr. Atul Madaan,None,Consultation Studio,National Authority,TOFU,Download free 12-36M Observation Rubric,No,YT Masterclass 1,Dr. Atul Batch 1,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-08,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Carousel,AA DELHI | School Conversations,Classroom Inclusion & RPwD Act,South Delhi private schools me aapke bachhe ke legal rights kya hain?,Special Educator,Delhi School Counselor,EOK Quiet Cabin,Education,MOFU,Save this school rights guide,Yes (Bluebells/Tagore),None,Original EOK Shoot,No,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-08,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Inside The Centre,Crown Plaza Mall LG-06 Tour,Faridabad parents: Therapy ke liye parking ka tension lene ki zaroorat nahi hai.,Faridabad Centre Head,None,Crown Plaza Basement & LG-06,Familiarity,MOFU,Visit LG-06 Crown Plaza Mall Sector 15A,No,None,Faridabad Walkthrough,Yes,Approved,Scheduled
2026-09-08,Week 1,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Carousel,DR ATUL | Long Conversation,National Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul Madaan on KSP.,Dr. Atul Madaan,Mansi Zaveri (Kidsstoppress),Podcast Studio,High Credibility,TOFU,Full 45-min podcast link in bio,Yes (Kidsstoppress),Podcast Episode 1,KSP Studio Shoot,Yes,Approved,Scheduled
2026-09-09,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Inside EOK,Sensory Gym Platform Swing Tour,South Delhi ke Main Road par ek aisi space jahan sensory overload calm hota hai.,Senior OT,None,EOK Sensory Gym,Familiarity,MOFU,Visit C-3 East of Kailash Main Road,No,None,EOK B-Roll Batch,Yes,Approved,Scheduled
2026-09-09,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | One Activity Many Skills,Kitchen Daal Sensory Bowl,Kitchen ki daal aur spoons se bachhe ka sitting tolerance kaise badhayein.,Senior OT,None,Faridabad Activity Room,Utility,TOFU,Save this kitchen sensory routine,No,None,Faridabad Batch Shoot,No,Approved,Scheduled
2026-09-09,Week 1,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Punjab Parent Classroom,Joint Family Advice & Denial in Punjab,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Dr. Atul Madaan,None,Ludhiana Kochar Market Office,Regional Trust,MOFU,"Visit Autism Alliance Kochar Market, Ludhiana",No,None,Ludhiana Batch Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-10,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | South Delhi Parent Questions,Meltdowns in Select CityWalk Malls,South Delhi ke malls me jab bachha floor par let kar scream kare...,Dr. Atul Madaan,South Delhi Mom Creator,EOK Studio,Empathy,TOFU,Save for your next weekend family outing,Yes (Harpreeth Suri),Live Session 1,Original EOK Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-10,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Parent Asked,Faridabad School & Speech Dilemmas,"Sector 14 ke parent ne pucha: 3 saal ka bachha baithta nahi hai, kya karein?",Lead Clinical Supervisor,None,Faridabad Consult Cabin,Problem Solving,MOFU,Call Faridabad desk: +91 9810 578289,No,None,Faridabad Batch 2,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-10,Week 1,Ludhiana / National,@dratul_autismexpert,"Instagram, YouTube & Master FB",Reel / Short,DR ATUL | Expert x Expert,Pediatric Neurologist Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,Dr. Atul Madaan,Dr. Gurpreet Singh Kochar,Ludhiana Clinic,Medical Authority,BOFU,Consultations available in Ludhiana & Delhi,Yes (Dr. Kochar),Live Session 2,Ludhiana Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-11,Week 1,Delhi,@autismalliance_delhi,Instagram & Facebook Delhi,Reel,AA DELHI | Doctor x Therapist,Pediatrician Referral Timeline,Pediatrician OPD checkup ke baad child psychologist kab consult karein?,Dr. Atul Madaan,Senior South Delhi Pediatrician,EOK Studio,Referral Trust,BOFU,Call our East of Kailash desk: 011-26465032,Yes (Apollo/Fortis),None,Doctor Collab Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-11,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | The Sensory Gym Tour,Vestibular Swings in Action,Ye platform swing sirf jhoola nahi hai; ye bachhe ke balance brain ko train kar raha hai.,Senior OT,None,Crown Plaza Sensory Gym,Education,MOFU,Book sensory profile check in Faridabad,No,None,Faridabad Swings Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
