Date,Week,City,Page,Platform,Format,Series,Topic,Exact Hook,Presenter,Guest,Shoot Location,Objective,Funnel,CTA,Collaboration,Live/Event Link,Repurpose Source,Paid Eligible,Clinical Review,Production Status
2026-09-07,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Therapist Shows,Bubble Wand Joint Attention Play,Parent Asked. Therapist Shows: Soap bubbles se eye contact kaise encourage karein.,Faridabad Senior SLP,None,Crown Plaza LG-06,Save-Rate,TOFU,Try this play technique at home today,No,None,Faridabad Batch 1,Yes,Approved,Scheduled
2026-09-08,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Inside The Centre,Crown Plaza Mall LG-06 Tour,Faridabad parents: Therapy ke liye parking ka tension lene ki zaroorat nahi hai.,Faridabad Centre Head,None,Crown Plaza Basement & LG-06,Familiarity,MOFU,Visit LG-06 Crown Plaza Mall Sector 15A,No,None,Faridabad Walkthrough,Yes,Approved,Scheduled
2026-09-09,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | One Activity Many Skills,Kitchen Daal Sensory Bowl,Kitchen ki daal aur spoons se bachhe ka sitting tolerance kaise badhayein.,Senior OT,None,Faridabad Activity Room,Utility,TOFU,Save this kitchen sensory routine,No,None,Faridabad Batch Shoot,No,Approved,Scheduled
2026-09-10,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Parent Asked,Faridabad School & Speech Dilemmas,"Sector 14 ke parent ne pucha: 3 saal ka bachha baithta nahi hai, kya karein?",Lead Clinical Supervisor,None,Faridabad Consult Cabin,Problem Solving,MOFU,Call Faridabad desk: +91 9810 578289,No,None,Faridabad Batch 2,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-11,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | The Sensory Gym Tour,Vestibular Swings in Action,Ye platform swing sirf jhoola nahi hai; ye bachhe ke balance brain ko train kar raha hai.,Senior OT,None,Crown Plaza Sensory Gym,Education,MOFU,Book sensory profile check in Faridabad,No,None,Faridabad Swings Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-12,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Daily Living & Independence,Sensory Toothbrushing Blueprint,Toothbrush dekhte hi bachha bhaagta hai? 3 gentle oral sensory steps.,Pediatric OT,None,Faridabad Therapy Room,High Utility,TOFU,DM 'BRUSH' for full sensory checklist,Yes (Dr. Garima),None,Faridabad OT Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-13,Week 1,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Faridabad Parent Circle,Sector 15A Community Meetup,Faridabad ke families ek sath: Special needs journey me aap akele nahi hain.,Centre Manager,Faridabad Mom Lead,Crown Plaza Activity Hall,Community,BOFU,RSVP for Saturday Parent Meetup at Crown Plaza,Yes (Faridabad Moms),Offline Event 1,Faridabad Event Shoot,No,Approved,Scheduled
2026-09-14,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Therapist Shows,Bubble Wand Joint Attention Play,Parent Asked. Therapist Shows: Soap bubbles se eye contact kaise encourage karein.,Faridabad Senior SLP,None,Crown Plaza LG-06,Save-Rate,TOFU,Try this play technique at home today,No,None,Faridabad Batch 1,Yes,Approved,Scheduled
2026-09-15,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Inside The Centre,Crown Plaza Mall LG-06 Tour,Faridabad parents: Therapy ke liye parking ka tension lene ki zaroorat nahi hai.,Faridabad Centre Head,None,Crown Plaza Basement & LG-06,Familiarity,MOFU,Visit LG-06 Crown Plaza Mall Sector 15A,No,None,Faridabad Walkthrough,Yes,Approved,Scheduled
2026-09-16,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | One Activity Many Skills,Kitchen Daal Sensory Bowl,Kitchen ki daal aur spoons se bachhe ka sitting tolerance kaise badhayein.,Senior OT,None,Faridabad Activity Room,Utility,TOFU,Save this kitchen sensory routine,No,None,Faridabad Batch Shoot,No,Approved,Scheduled
2026-09-17,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | Parent Asked,Faridabad School & Speech Dilemmas,"Sector 14 ke parent ne pucha: 3 saal ka bachha baithta nahi hai, kya karein?",Lead Clinical Supervisor,None,Faridabad Consult Cabin,Problem Solving,MOFU,Call Faridabad desk: +91 9810 578289,No,None,Faridabad Batch 2,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-18,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Reel,AA FARIDABAD | The Sensory Gym Tour,Vestibular Swings in Action,Ye platform swing sirf jhoola nahi hai; ye bachhe ke balance brain ko train kar raha hai.,Senior OT,None,Crown Plaza Sensory Gym,Education,MOFU,Book sensory profile check in Faridabad,No,None,Faridabad Swings Shoot,Yes,CLINICAL REVIEW REQUIRED,Scheduled
2026-09-19,Week 2,Faridabad,@autismalliance_faridabad,Instagram (FB via Master Ads),Carousel,AA FARIDABAD | Daily Living & Independence,Sensory Toothbrushing Blueprint,Toothbrush dekhte hi bachha bhaagta hai? 3 gentle oral sensory steps.,Pediatric OT,None,Faridabad Therapy Room,High Utility,TOFU,DM 'BRUSH' for full sensory checklist,Yes (Dr. Garima),None,Faridabad OT Batch,Yes,CLINICAL REVIEW REQUIRED,Scheduled
