ID,Title,Pillar,Series,Audience,Concept,Exact_Hook,Character_Used,Supporting_Characters,Setting,Conflict_Question,Educational_Point,Dialogue_Summary,Duration,Scene_Count,CTA,Clinical_Review_Required,Visual_Complexity,Production_Difficulty,AI_Generation_Difficulty,Paid_Eligible,YouTube_Shorts_Fit,Instagram_Fit,Facebook_Fit
GD-R001,Why Don't You Look At Me?,P1: GAPPU ASKS,Gappu & Dolly: Connect,Parents & Teachers,Explaining why forced eye contact impairs auditory processing in autistic children.,"Dolly, why does our friend look at the wall when we talk?",Gappu & Dolly,Kabir (Child),Living Room,Adults asking child to look into their eyes before speaking.,Looking away reduces cognitive overload and helps the child listen better.,Gappu asks why Kabir looks away. Dolly explains that listening is easier when eyes don't have to work.,30s,5,Share this with an educator,CLINICAL REVIEW REQUIRED,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R002,Why That Sound Hurts,P1: GAPPU ASKS,Gappu & Dolly: Connect,Parents & Families,Auditory hyperacusis explained through a kitchen mixer grinder.,"Dolly, why did Kabir run away when Maa started the mixer?",Gappu & Dolly,"Maa, Kabir",Kitchen,Mixer grinder noise causing sudden distress and ear-covering.,Auditory filtering differences mean everyday sounds can feel physically jarring.,Gappu wonders why a kitchen sound triggers panic. Dolly explains sensory amplification.,30s,4,Save this for noisy family events,Approved,Medium,Medium,Low,Yes,Yes,Yes,Yes
GD-R003,Why Repeat That Cartoon Line?,P1: GAPPU ASKS,Gappu & Dolly: Connect,Parents & Speech Therapists,Gestalt language processing and echolalia as meaningful communication.,"Dolly, why is he repeating Peppa Pig dialogues instead of answering?",Gappu & Dolly,Kabir,Playroom,Child repeats TV script rather than answering 'What is your name?'.,Echolalia is real language development; the child uses learned scripts to share connection.,Gappu thinks it's just TV memory. Dolly shows how the script means 'Come play with me!'.,32s,5,DM 'SPEECH' for communication guide,CLINICAL REVIEW REQUIRED,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R004,Why Does He Spin The Wheels?,P1: GAPPU ASKS,Gappu & Dolly: Connect,Parents & Educators,Visual stimming and non-traditional toy exploration.,"Dolly, why does Kabir flip the toy car upside down and spin wheels?",Gappu & Dolly,Kabir,Living Room Rug,Adults trying to force child to 'drive' car forward on floor.,Spinning wheels provides soothing visual vestibular feedback; play has many valid forms.,Gappu watches wheels spin. Dolly explains how visual patterns bring calm to a busy brain.,28s,4,Respect all forms of joyful play,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R005,Why Does Sitting Still Hurt?,P1: GAPPU ASKS,Gappu & Dolly: Connect,Teachers & Parents,Proprioceptive seeking and the physical need for movement breaks.,"Dolly, why does our friend wriggle like a fish on his chair?",Gappu & Dolly,"Teacher, Kabir",Classroom Desk,Teacher demanding child sit perfectly still with hands folded.,Movement activates neurological focus; stillness can cause internal dysregulation.,Gappu asks if Kabir is being naughty. Dolly explains the body's hidden hunger for movement.,30s,4,Share with your child's class teacher,CLINICAL REVIEW REQUIRED,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R006,Why Did Plans Change Melt Him Down?,P1: GAPPU ASKS,Gappu & Dolly: Connect,Parents & Caregivers,The neurological comfort of predictability and fear of unexpected transitions.,"Dolly, we only changed the park to the mall... why the big tears?",Gappu & Dolly,"Maa, Kabir",Car Interior / Driveway,Sudden change of destination triggers intense emotional distress.,Predictability creates safety; sudden changes feel like the ground disappearing.,Gappu learns why visual transition warnings protect emotional safety.,32s,5,Save our 5-Minute Warning routine,CLINICAL REVIEW REQUIRED,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R007,The Room Isn't Loud To You,P2: DOLLY FEELS,Gappu & Dolly: Connect,General Public & Parents,Sensory empathy in crowded shopping malls.,The mall isn't too loud for you... but it may feel like thunder to someone else.,Gappu & Dolly,"Crowd, Kabir",Shopping Mall,Shoppers staring at child covering ears near escalator.,Sensory thresholds vary widely; what is background murmur to one is sensory pain to another.,Dolly visualizes sound waves expanding into bright jagged sparks; Gappu offers quiet headphones.,30s,5,Understand before judging,Approved,High,High,High,Yes,Yes,Yes,Yes
GD-R008,Flapping Is My Pure Joy,P2: DOLLY FEELS,Gappu & Dolly: Connect,Parents & Society,Motor stimming as authentic emotional expression of happiness.,"When hands flutter like butterflies, it's not bad... it's pure happiness overflowing!",Gappu & Dolly,Kabir,Sunny Park Grass,Well-meaning adult holding child's hands down to stop hand-flapping.,Motor stimming releases intense emotional energy and regulates internal excitement.,Dolly shows how dolphin fins splash in joy; Gappu flutters his trunk in celebration.,28s,4,Never extinguish safe joy,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R009,The Scratchy Tag Monster,P2: DOLLY FEELS,Gappu & Dolly: Connect,Parents,Tactile defensiveness against clothing tags and synthetic fabrics.,That tiny shirt tag feels like sandpaper on his skin.,Gappu & Dolly,"Papa, Kabir",Bedroom Wardrobe,Child refusing to wear a brand new collared festival shirt.,Tactile receptors in neurodivergent skin can register shirt tags as constant irritating pinpricks.,Dolly shows microscopic view of sharp nylon tag; Gappu snips it off with gentle scissors.,26s,4,Tagless clothes = peaceful mornings,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R010,I Hear Everything At Once,P2: DOLLY FEELS,Gappu & Dolly: Connect,Educators & Parents,Visualizing lack of sensory auditory gating.,"Imagine hearing the clock tick, the fan whirl, and the street dog all at the exact same volume.",Gappu & Dolly,Kabir,Classroom Desk,Student unable to focus on teacher's voice during exam.,"Without neurological auditory filtration, all background noises compete for equal attention.",Dolly guides Gappu to create a quiet visual study nook with noise dampening.,35s,5,Share with school counselors,CLINICAL REVIEW REQUIRED,High,Medium,Medium,Yes,Yes,Yes,Yes
